trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99999950000004167}",20,0,-32.347741038326056,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.99999800000066663}",20,0,-103.30846977556823,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.999995500003375}",25,0,-128.13310274319707,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.99999200001066668}",20,0,-63.55604085777518,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.99998750002604164}",25,0,-47.982915307976654,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.99998200005399995}",25,0,-132.80469879976246,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.99997550010004155}",20,0,-132.82055871744512,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.99996800017066634}",25,0,-168.5044900225265,"{0: 15, 1: 0, 2: 4, 3: 5, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.99995950027337421}",25,0,-155.15393491266786,"{0: 12, 1: 5, 2: 6, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.99995000041666526}",25,0,-74.43491084468276,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.99993950061003922}",20,0,-162.65754722373862,"{0: 9, 1: 5, 2: 3, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.9999280008639958}",20,0,-61.997670477280856,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.99991550119003492}",20,0,-176.25190335922454,"{0: 8, 1: 6, 2: 2, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.99990200160065623}",25,0,-129.2498849602692,"{0: 15, 1: 5, 2: 2, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.99988750210935917}",20,0,-75.89886540506818,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.99987200273064336}",20,0,-15.02950811245382,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.99985550348000818}",25,0,-211.1802769399393,"{0: 12, 1: 5, 2: 2, 3: 3, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.99983800437395276}",25,4,-63.331465313107586,"{0: 13, 1: 4, 2: 2, 3: 2, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.99981950542997633}",20,2,-174.33827748123826,"{0: 11, 1: 2, 2: 0, 3: 1, 4: 4}",1
20,False,"{'a': 0.5, 'e': 0.99980000666657776}",30,0,-95.15509367395713,"{0: 18, 1: 5, 2: 5, 3: 2, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.99977950810325589}",35,0,-161.00770122161563,"{0: 16, 1: 6, 2: 11, 3: 2, 4: 0}",0
