trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.07479790769402,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.24548849059995,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.13379281717721,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-216.44227578277957,"{0: 17, 1: 3, 2: 6, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-210.10329827612645,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 5}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-179.62688798868018,"{0: 16, 1: 1, 2: 11, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-310.87440048045914,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 6}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-194.68605085778327,"{0: 8, 1: 4, 2: 4, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",35,0,-195.82868776647805,"{0: 18, 1: 7, 2: 6, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.95868131225437,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-131.33414272585935,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",35,0,-211.6127096973759,"{0: 20, 1: 2, 2: 8, 3: 3, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-154.46113098909234,"{0: 19, 1: 3, 2: 3, 3: 3, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-124.2392295035423,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-262.6482176697491,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 5}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,14,12.872386377943762,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-51.66027369606979,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.89798093199134,"{0: 10, 1: 1, 2: 9, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.48611869681879,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.7512864046996,"{0: 11, 1: 0, 2: 6, 3: 3, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,6,-98.07124100331917,"{0: 7, 1: 0, 2: 5, 3: 1, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",20,0,-36.9300830694365,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",35,0,-194.25496798788484,"{0: 22, 1: 2, 2: 7, 3: 1, 4: 3}",0
4,True,"{'a': 0, 'e': 0}",20,0,-87.15073014013159,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",30,0,-61.71190266817516,"{0: 20, 1: 5, 2: 4, 3: 1, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",35,13,-108.44364568190151,"{0: 14, 1: 1, 2: 4, 3: 2, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",25,3,-76.21408171189337,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",25,0,-225.5687985882166,"{0: 15, 1: 0, 2: 4, 3: 2, 4: 4}",0
9,True,"{'a': 0, 'e': 0}",20,0,-92.71029235082867,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",30,0,-133.9853112388087,"{0: 19, 1: 2, 2: 6, 3: 2, 4: 1}",0
