trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999}",35,0,-252.66401339878794,"{0: 20, 1: 1, 2: 8, 3: 3, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.998}",20,0,-104.50899488581484,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.997}",20,0,-95.82109002613302,"{0: 11, 1: 2, 2: 4, 3: 3, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.996}",25,0,-220.0443451670944,"{0: 14, 1: 2, 2: 2, 3: 4, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.995}",25,1,-100.56076639148489,"{0: 15, 1: 5, 2: 1, 3: 2, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.994}",25,0,-96.22113730485177,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.993}",20,0,-99.41212349917372,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.992}",20,5,-137.31957645243787,"{0: 8, 1: 0, 2: 3, 3: 2, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.991}",25,0,-134.97319157131255,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.99}",30,0,-156.07847331687515,"{0: 16, 1: 4, 2: 7, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.989}",30,0,-182.05603186813778,"{0: 16, 1: 2, 2: 9, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.988}",25,0,-136.88269015035667,"{0: 14, 1: 0, 2: 9, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.987}",25,0,-93.73505859321291,"{0: 14, 1: 1, 2: 9, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.986}",25,0,-77.62778422980466,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.985}",25,0,-174.08861281561562,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.984}",20,0,-136.57604228296543,"{0: 10, 1: 2, 2: 4, 3: 3, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.983}",30,0,-109.55951614275904,"{0: 17, 1: 3, 2: 9, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.982}",25,0,-70.77671004153527,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.981}",30,0,-201.43586886658125,"{0: 16, 1: 3, 2: 5, 3: 4, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.98}",30,0,-209.3656698721117,"{0: 19, 1: 1, 2: 5, 3: 1, 4: 4}",0
21,False,"{'a': 0.5, 'e': 0.979}",20,0,-121.26143684786089,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.978}",20,0,-64.40785145749132,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.977}",20,6,-1.410179060758396,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.976}",25,0,-106.43032724791993,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
