trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99999800000066663}",20,0,-119.63645312547443,"{0: 10, 1: 0, 2: 9, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.99999200001066668}",20,0,-68.4118128659846,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.99998200005399995}",20,0,-217.05672130696257,"{0: 10, 1: 2, 2: 2, 3: 2, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.99996800017066634}",20,0,-106.52479538625268,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.99995000041666526}",25,0,-203.30988715379166,"{0: 12, 1: 2, 2: 6, 3: 3, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9999280008639958}",25,0,-221.58016540568465,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.99990200160065623}",20,0,-91.16089033328502,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.99987200273064336}",25,0,-205.87964444700577,"{0: 14, 1: 1, 2: 4, 3: 3, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.99983800437395276}",25,9,-25.648862818387165,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.99980000666657776}",20,0,-111.211044443669,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.99975800976050921}",25,0,-231.03708797753103,"{0: 8, 1: 6, 2: 7, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.99971201382373454}",35,0,-173.625700738534,"{0: 19, 1: 8, 2: 5, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.99966201904023766}",20,0,-188.23703529878478,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.9996080256099974}",30,0,-172.74683923063418,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.99955003374898754}",20,5,-58.73397923276531,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.99948804368917543}",20,0,-81.07376669070503,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.99942205567852116}",30,0,-225.59609751835822,"{0: 16, 1: 2, 2: 8, 3: 0, 4: 4}",0
18,False,"{'a': 0.5, 'e': 0.99935206998097681}",20,0,-57.35430636364557,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.99927808687648489}",20,0,-80.1150681476948,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
