trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,0,-39.70114879479925,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9801}",20,0,-41.818879767220565,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.970299}",30,0,-117.9532912521816,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",25,0,-97.84743126428793,"{0: 19, 1: 0, 2: 2, 3: 3, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",25,0,-187.86469251141264,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.941480149401}",25,0,-91.35201734785987,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",20,0,-111.14786796551165,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9227446944279201}",25,0,-54.81563025035924,"{0: 18, 1: 5, 2: 1, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836408}",30,2,-174.27725686420436,"{0: 13, 1: 3, 2: 8, 3: 3, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.9043820750088044}",30,0,-141.30992461929964,"{0: 18, 1: 0, 2: 10, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587164}",25,0,-121.7197315394645,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161292}",30,0,-111.32996202946728,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",20,0,-101.46492416162872,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689782}",20,0,-30.928489329923604,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412884}",25,0,-88.49196819363199,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
