trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99999987500000265}",20,0,-72.52147283709053,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.99999950000004167}",25,0,-129.1086760391658,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9999988750002109}",25,0,-27.38740883947036,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.99999800000066663}",20,0,-100.98771860078281,"{0: 9, 1: 4, 2: 5, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.99999687500162759}",25,0,-75.11373823137079,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.999995500003375}",20,0,-121.19849519666617,"{0: 12, 1: 2, 2: 2, 3: 3, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.99999387500625259}",30,10,-42.86932812760224,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.99999200001066668}",20,0,-156.71481379956865,"{0: 8, 1: 2, 2: 8, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.99998987501708592}",25,0,-25.1835089006393,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.99998750002604164}",25,7,-2.396546677120205,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.99998487503812761}",30,0,-111.90036244697522,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.99998200005399995}",25,0,-46.41988882384139,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.99997887507437755}",25,0,-121.41149569076265,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.99997550010004155}",25,0,-92.84230930790038,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.99997187513183572}",25,6,-126.01665453477014,"{0: 9, 1: 4, 2: 4, 3: 0, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.99996800017066634}",20,0,-73.74857747782887,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.99996387521750207}",20,0,-158.06545153063615,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.99995950027337421}",20,0,-125.32924539274353,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.99995487533937655}",25,0,-214.2681092978299,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 4}",0
20,False,"{'a': 0.5, 'e': 0.99995000041666526}",35,0,-192.1033832754384,"{0: 23, 1: 2, 2: 5, 3: 2, 4: 3}",0
21,False,"{'a': 0.5, 'e': 0.99994487550645905}",25,0,-107.37570222368562,"{0: 13, 1: 2, 2: 9, 3: 1, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.99993950061003922}",20,0,-101.56427418016195,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.99993387572874937}",20,0,-125.84859075574224,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.9999280008639958}",25,0,-276.7139634275379,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 5}",0
25,False,"{'a': 0.5, 'e': 0.99992187601724736}",20,0,-172.61954155117527,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
