trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,17,-13.261199366211365,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-179.00645332278262,"{0: 15, 1: 0, 2: 5, 3: 3, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-118.97256503209788,"{0: 12, 1: 5, 2: 5, 3: 3, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,9,-47.023888976069536,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.78154641726978,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.33694047655142,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-98.41436906543252,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-179.54696888321055,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.66948892429899,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-107.48002031646917,"{0: 21, 1: 2, 2: 4, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-192.3466916944586,"{0: 13, 1: 2, 2: 5, 3: 3, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-2.070771110615155,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.38161852181483,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,7,-35.400097759064955,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.19320479277656,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,7,-127.3403798140839,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 2}",1
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-141.9805156511867,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-167.78437761447287,"{0: 17, 1: 4, 2: 5, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-303.1528555000295,"{0: 13, 1: 4, 2: 6, 3: 2, 4: 5}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-92.64287984420582,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-93.90596787937781,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",1
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-113.20973323617598,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-155.69137040543538,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-81.07845232984133,"{0: 12, 1: 3, 2: 2, 3: 3, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",35,0,-274.3934813867645,"{0: 19, 1: 3, 2: 6, 3: 3, 4: 4}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-85.61717265288138,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-6.20093323147756,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-106.32614975346635,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-6.9784660246069805,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-103.53241093997934,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
